Nom recette,Nombre de commentaires,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Aubergines végétariennes au fromage blanc,13.0,ail,10.0,0.02,146.0,34.4,6.28,0.077,1.67,0.011000000000000001,0.243
Aubergines végétariennes au fromage blanc,13.0,aubergine,200.0,0.068,,,4.78,0.28,2.24,0.0126,4.78
Aubergines végétariennes au fromage blanc,13.0,basilic,2.0,0.0026,2.9,0.696,0.051,0.009399999999999999,0.067,0.0005600000000000001,0.0074
Aubergines végétariennes au fromage blanc,13.0,champignon,25.0,0.01375,22.8,5.425,0.47,0.0575,0.5925,0.003,0.3575
Aubergines végétariennes au fromage blanc,13.0,fromage blanc,50.0,1.405,184.0,43.85,2.84,2.155,3.475,0.055,2.5
Aubergines végétariennes au fromage blanc,13.0,oignon,25.0,0.0,42.25,10.05,1.6825,0.0,0.39,0.0,1.25
Aubergines végétariennes au fromage blanc,13.0,poivre,2.0,0.057999999999999996,27.6,6.6,0.79,0.15,0.266,0.0007199999999999999,0.0128
Aubergines végétariennes au fromage blanc,13.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Aubergines végétariennes au fromage blanc,13.0,tomate,125.0,0.0,105.375,25.125,3.7875,0.0,0.625,0.0,3.25
Beignets végétariens à la tomate,6.0,brique,250.0,40.0,3025.0,730.0,0.0,59.5,48.5,2.5,0.0
Beignets végétariens à la tomate,6.0,epice,2.0,0.0968,28.8,6.92,0.754,0.20800000000000002,0.248,0.00096,0.042800000000000005
Beignets végétariens à la tomate,6.0,farine,7.5,0.009750000000000002,113.25,26.7,5.6925,0.06149999999999999,0.7454999999999999,0.00735,0.030749999999999996
Beignets végétariens à la tomate,6.0,flocons d'avoine,50.0,0.565,775.0,183.5,28.95,3.255,7.1,0.007000000000000001,0.485
Beignets végétariens à la tomate,6.0,herbes de Provence,2.0,0.037599999999999995,23.4,5.66,0.46,0.14400000000000002,0.23,0.0017599999999999998,0.37
Beignets végétariens à la tomate,6.0,huile d'olive,2.0,0.304,74.0,18.0,0.0,1.9980000000000002,0.0,0.0,0.0
Beignets végétariens à la tomate,6.0,lait,62.5,0.6625,124.375,29.5625,3.0125,0.99375,2.075,0.0575,2.8875
Beignets végétariens à la tomate,6.0,oeuf,27.5,0.82225,158.125,37.95,0.19524999999999998,2.60425,3.4375,0.055,0.10175000000000001
Beignets végétariens à la tomate,6.0,oignon,50.0,0.0,84.5,20.1,3.365,0.0,0.78,0.0,2.5
Beignets végétariens à la tomate,6.0,persil,2.0,0.002,3.6,0.86,0.0696,0.0126,0.0742,0.0118,0.019
Beignets végétariens à la tomate,6.0,poivre,2.0,0.057999999999999996,27.6,6.6,0.79,0.15,0.266,0.0007199999999999999,0.0128
Beignets végétariens à la tomate,6.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Bhajias indiens végétariens,4.0,aubergine,100.0,0.034,,,2.39,0.14,1.12,0.0063,2.39
Bhajias indiens végétariens,4.0,courgette,50.0,0.05,32.45,7.75,0.7,0.18,0.465,0.049,0.695
Bhajias indiens végétariens,4.0,curry,1.25,0.020625,15.375,3.7625,0.032874999999999995,0.175,0.18125,0.0016250000000000001,0.032874999999999995
Bhajias indiens végétariens,4.0,echalote,40.0,0.048,112.8,26.76,4.92,0.16,0.8,0.0,1.52
Bhajias indiens végétariens,4.0,farine de pois chiche,25.0,0.1725,377.5,89.75,11.75,1.6725,5.6,0.04,2.725
Bhajias indiens végétariens,4.0,farine de riz,13.75,0.06325,207.625,49.0875,10.16125,0.34375,1.1,0.0,0.12375
Bhajias indiens végétariens,4.0,huile,2.0,0.27,74.0,18.0,0.0,1.9980000000000002,0.0042,0.000196,0.0
Bhajias indiens végétariens,4.0,levure chimique,1.25,0.0,,,0.415,0.0025,0.0245,,0.00125
Bhajias indiens végétariens,4.0,piment fort,1.25,0.0003875,,,0.09625,0.004,0.023375000000000003,0.00025,0.06625
Bhajias indiens végétariens,4.0,poivre,2.0,0.057999999999999996,27.6,6.6,0.79,0.15,0.266,0.0007199999999999999,0.0128
Bhajias indiens végétariens,4.0,poivron rouge,75.0,0.0,113.25,26.775,4.8975,0.0,0.705,0.0,4.575
Bhajias indiens végétariens,4.0,poivron vert,75.0,0.075,90.0,21.45,2.6475,0.225,0.9375,0.0,2.325
Bhajias indiens végétariens,4.0,sel,1.25,,0.0,0.0,0.0,0.0,0.0,1.00625,0.0
Blanquette végétarienne,5.0,bouquet garni,5.0,0.011000000000000001,,,,0.0635,1.14,0.023499999999999997,
Blanquette végétarienne,5.0,carotte,125.0,0.02375,98.5,23.625,3.25,0.125,0.6875,0.06375,1.625
Blanquette végétarienne,5.0,champignon,50.0,0.0275,45.6,10.85,0.94,0.115,1.185,0.006,0.715
Blanquette végétarienne,5.0,citron,27.5,0.0,46.75,11.055,0.8635,0.0,0.31074999999999997,0.004125,0.5775
Blanquette végétarienne,5.0,creme vegetale,50.0,1.44,159.0,38.1,2.64,2.15,1.595,0.055,2.22
Blanquette végétarienne,5.0,farine,10.0,0.013000000000000001,151.0,35.6,7.59,0.08199999999999999,0.9939999999999999,0.0098,0.040999999999999995
Blanquette végétarienne,5.0,haricot,66.25,0.027825000000000003,100.7,24.04875,3.37875,0.12587500000000001,1.291875,0.0025174999999999998,0.814875
Blanquette végétarienne,5.0,huile d'olive,2.0,0.304,74.0,18.0,0.0,1.9980000000000002,0.0,0.0,0.0
Blanquette végétarienne,5.0,muscade,1.25,0.32375,26.25,6.3375,0.35625,0.45375,0.07824999999999999,0.0005,0.037375000000000005
Blanquette végétarienne,5.0,oeuf,27.5,0.82225,158.125,37.95,0.19524999999999998,2.60425,3.4375,0.055,0.10175000000000001
Blanquette végétarienne,5.0,oignon,25.0,0.0,42.25,10.05,1.6825,0.0,0.39,0.0,1.25
Blanquette végétarienne,5.0,poireau,30.0,0.0,34.2,8.22,0.669,0.0,0.768,0.0,0.54
Blanquette végétarienne,5.0,poivre,2.0,0.057999999999999996,27.6,6.6,0.79,0.15,0.266,0.0007199999999999999,0.0128
Boulettes aux épinards (végétarien),9.0,chapelure,25.0,0.235,395.0,93.5,17.5,0.9425,3.175,0.455,1.725
Boulettes aux épinards (végétarien),9.0,epinards frais,62.5,0.08125,73.125,17.5625,0.0,0.4375,2.1125,0.01875,0.0
Boulettes aux épinards (végétarien),9.0,huile,2.0,0.27,74.0,18.0,0.0,1.9980000000000002,0.0042,0.000196,0.0
Boulettes aux épinards (végétarien),9.0,oeuf,27.5,0.82225,158.125,37.95,0.19524999999999998,2.60425,3.4375,0.055,0.10175000000000001
