Nom recette,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Curry de légumes végétarien,ail,7.5,0.015,109.5,25.8,4.71,0.05775,7.828125,0.00825,0.18225000000000002
Curry de légumes végétarien,basilic,2.0,0.0026,2.9,0.696,0.051,0.009399999999999999,0.41875,0.0005600000000000001,0.0074
Curry de légumes végétarien,carotte,100.0,0.019,78.8,18.9,2.6,0.1,3.4375000000000004,0.051,1.3
Curry de légumes végétarien,citron vert,2.0,0.0,3.4,0.804,0.06280000000000001,0.0,0.14125,0.0003,0.042
Curry de légumes végétarien,concentre de tomate,7.5,0.006975,31.425,7.44,1.2825,0.03975,2.0625,0.020250000000000004,0.9975
Curry de légumes végétarien,courgette,100.0,0.1,64.9,15.5,1.4,0.36,5.8125,0.098,1.39
Curry de légumes végétarien,creme de coco,75.0,12.375,581.25,141.0,2.55,13.8,8.296875,0.05625,1.575
Curry de légumes végétarien,cumin,1.875,0.028875,33.375,8.00625,0.6318750000000001,0.418125,2.0859375,0.007875,0.0421875
Curry de légumes végétarien,echalote,30.0,0.036,84.6,20.070000000000004,3.69,0.12,3.75,0.0,1.14
Curry de légumes végétarien,patate douce,50.0,0.021,132.5,31.4,6.1,0.075,5.28125,0.0395,3.055
Curry de légumes végétarien,pate de curry,12.5,0.20625,153.75,37.625,0.32875,1.75,11.328125,0.01625,0.32875
Curry de légumes végétarien,petit piment,7.5,0.002325,,,0.5775,0.024,0.8765625000000001,0.0015,0.3975
Curry de légumes végétarien,poivre,2.0,0.057999999999999996,27.6,6.6,0.79,0.15,1.6625,0.0007199999999999999,0.0128
Curry de légumes végétarien,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Hachis parmentier végétarien,ail,2.5,0.005,36.5,8.6,1.57,0.01925,2.609375,0.0027500000000000003,0.06075
Hachis parmentier végétarien,carotte,93.75,0.0178125,73.875,17.718749999999996,2.4375,0.09375,3.222656250000001,0.0478125,1.21875
Hachis parmentier végétarien,celeri,2.5,,,,0.115,0.0215,0.203125,0.00375,0.07
Hachis parmentier végétarien,huile d'olive,7.5,1.14,277.5,67.5,0.0,7.4925,0.0,0.0,0.0
Hachis parmentier végétarien,navet,62.5,0.005,,,2.375,0.125,3.515625,0.045625,1.8125
Hachis parmentier végétarien,oignon,50.0,0.0,84.5,20.1,3.365,0.0,4.875,0.0,2.5
