Nom recette,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Boulettes de viande à la Sicilienne,ail,5.0,0.01,73.0,17.2,3.14,0.0385,0.835,0.0055000000000000005,0.1215
Boulettes de viande à la Sicilienne,basilic,2.0,0.0026,2.9,0.696,0.051,0.009399999999999999,0.067,0.0005600000000000001,0.0074
Boulettes de viande à la Sicilienne,boeuf hache,150.0,9.975,1444.5,346.5,0.0027,22.65,35.7,0.315,0.0
Boulettes de viande à la Sicilienne,chapelure,25.0,0.235,395.0,93.5,17.5,0.9425,3.175,0.455,1.725
Boulettes de viande à la Sicilienne,huile d'olive,2.0,0.304,74.0,18.0,0.0,1.9980000000000002,0.0,0.0,0.0
Boulettes de viande à la Sicilienne,menthe,2.0,0.0044,4.8,1.1520000000000001,0.106,0.0168,0.0704,0.0015199999999999999,0.106
Boulettes de viande à la Sicilienne,oeuf,41.25,1.233375,237.1875,56.925,0.292875,3.9063750000000006,5.15625,0.0825,0.15262499999999998
Boulettes de viande à la Sicilienne,oignon,25.0,0.0,42.25,10.05,1.6825,0.0,0.39,0.0,1.25
Boulettes de viande à la Sicilienne,pecorino,50.0,9.15,,,0.0,14.4,,2.365,0.0
Boulettes de viande à la Sicilienne,persil,2.0,0.002,3.6,0.86,0.0696,0.0126,0.0742,0.0118,0.019
Boulettes de viande à la Sicilienne,poivre,2.0,0.057999999999999996,27.6,6.6,0.79,0.15,0.266,0.0007199999999999999,0.0128
Boulettes de viande à la Sicilienne,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Boulettes de viandes simplissimes,farine,3.75,0.004875000000000001,56.625,13.35,2.84625,0.030749999999999996,0.37274999999999997,0.003675,0.015374999999999998
Boulettes de viandes simplissimes,oeuf,13.75,0.411125,79.0625,18.975,0.09762499999999999,1.302125,1.71875,0.0275,0.050875000000000004
Boulettes de viandes simplissimes,oignon,3.75,0.0,6.3375,1.5075,0.252375,0.0,0.0585,0.0,0.1875
Boulettes de viandes simplissimes,poivre,2.0,0.057999999999999996,27.6,6.6,0.79,0.15,0.266,0.0007199999999999999,0.0128
