Nom recette,Nombre de commentaires,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Aubergines farcies viande hachée/légumes,21.0,ail,2.5,0.005,36.5,8.6,1.57,0.01925,0.4175,0.00275,0.06075
Aubergines farcies viande hachée/légumes,21.0,aubergine,200.0,0.068,,,4.78,0.28,2.24,0.0126,4.78
Aubergines farcies viande hachée/légumes,21.0,gruyere rape,12.5,2.475,220.0,52.875,0.0,4.325,3.4875,0.1,0.0
Aubergines farcies viande hachée/légumes,21.0,huile d'olive,2.0,0.304,74.0,18.0,0.0,1.998,0.0,0.0,0.0
Aubergines farcies viande hachée/légumes,21.0,lait,37.5,0.3975,74.625,17.7375,1.8075,0.59625,1.245,0.0344999999999999,1.7325
Aubergines farcies viande hachée/légumes,21.0,lardon,25.0,3.15,335.0,81.0,0.5,6.125,5.95,0.95,
Aubergines farcies viande hachée/légumes,21.0,oeuf,27.5,0.82225,158.125,37.95,0.1952499999999999,2.60425,3.4375,0.055,0.10175
Aubergines farcies viande hachée/légumes,21.0,oignon,25.0,0.0,42.25,10.05,1.6825,0.0,0.39,0.0,1.25
Aubergines farcies viande hachée/légumes,21.0,pain,12.5,0.04625,146.25,34.5,6.8,0.20125,1.12625,0.16,0.3425
Aubergines farcies viande hachée/légumes,21.0,persil,2.0,0.002,3.6,0.86,0.0696,0.0126,0.0742,0.0118,0.019
Aubergines farcies viande hachée/légumes,21.0,poivre,2.0,0.0579999999999999,27.6,6.6,0.79,0.15,0.266,0.0007199999999999,0.0128
Aubergines farcies viande hachée/légumes,21.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Aubergines farcies viande hachée/légumes,21.0,tomate,31.25,0.0,26.34375,6.28125,0.946875,0.0,0.15625,0.0,0.8125
